,Neighborhood,Latitude,Longitude,Avg 2BHK Rent,Hospitals,Schools,Emergency Services,Leisure,Shopping Facilities,Spiritual Centers,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Thane West,19.17502,72.9718018,27333.33,4,50,7,27,100,54,Smoke Shop,Indian Restaurant,Dessert Shop,Border Crossing,Fast Food Restaurant,Train Station,Dumpling Restaurant,Electronics Store,Event Space,Factory
1,Mira Road East,19.1878962,72.8365955,30000.0,30,45,4,23,100,63,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Café,Pub,Chinese Restaurant,Clothing Store,Pizza Place,Italian Restaurant,Gym
2,Kharghar,19.0257731,73.05918477985664,32000.0,9,8,0,7,83,10,Café,Fast Food Restaurant,Multiplex,Train Station,Department Store,Indian Restaurant,Sandwich Place,Dhaba,Boutique,Falafel Restaurant
3,Chembur,19.0612128,72.8975909,39000.0,36,57,6,35,100,98,Indian Restaurant,Seafood Restaurant,Café,Ice Cream Shop,Pizza Place,Garden,Lounge,Fast Food Restaurant,Bar,Restaurant
4,Kandivali East,19.2103809,72.8640837,33694.62,30,18,3,19,100,31,Indian Restaurant,Fast Food Restaurant,Restaurant,Pizza Place,Shopping Mall,Lounge,Café,Multiplex,Ice Cream Shop,Chinese Restaurant
5,Powai,19.1187195,72.9073476,85000.0,1,22,3,33,100,27,Indian Restaurant,Ice Cream Shop,Café,Chinese Restaurant,Bar,Bakery,Coffee Shop,Restaurant,Lounge,Pub
6,Goregaon East,19.1692623,72.8552548,30000.0,9,49,6,25,100,58,Fast Food Restaurant,Indian Restaurant,Vegetarian / Vegan Restaurant,Hotel,Multiplex,Donut Shop,Snack Place,Shopping Mall,Bookstore,Bar
7,Ulwe,18.9804364,73.0387309,10000.0,0,1,0,0,1,2,Pizza Place,Department Store,Italian Restaurant,Dhaba,Zoo,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
8,Andheri East,19.1158835,72.854202,22000.0,20,53,9,18,100,78,Indian Restaurant,Fast Food Restaurant,Café,Gym,Restaurant,Food Court,Hotel,Chinese Restaurant,Shopping Mall,Asian Restaurant
9,Virar,19.4676823,72.8879975,8000.0,0,2,1,0,2,6,Resort,Restaurant,Bus Station,Indian Restaurant,Electronics Store,Diner,Donut Shop,Dumpling Restaurant,Zoo,Dim Sum Restaurant
10,Panvel,19.0500265,72.9333337,12284.81,8,41,5,1,94,50,ATM,Coffee Shop,Train Station,Sports Bar,Factory,Diner,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space
11,Andheri West,19.1172495,72.833968,56333.33,36,35,8,21,100,50,Indian Restaurant,Coffee Shop,Multiplex,Gym,Vegetarian / Vegan Restaurant,Café,Pub,Clothing Store,Ice Cream Shop,Snack Place
12,Mulund West,19.1719717,72.9511956,26000.0,60,91,19,27,100,100,Indian Restaurant,Fast Food Restaurant,Snack Place,Café,Ice Cream Shop,Pizza Place,Asian Restaurant,Flea Market,Shopping Mall,Lounge
13,Malad West,19.1840129,72.8412155,31750.0,53,28,6,23,100,97,Fast Food Restaurant,Coffee Shop,Indian Restaurant,Café,Chinese Restaurant,Pizza Place,Bar,Clothing Store,Italian Restaurant,Pub
14,Kalyan West,19.1378919,72.81066778229749,18000.0,2,7,2,20,53,38,Café,Beach,Restaurant,Coffee Shop,Diner,Chinese Restaurant,Sandwich Place,Middle Eastern Restaurant,Miscellaneous Shop,Boat or Ferry
15,Borivali West,19.2294561,72.8479905,316.8,30,70,8,43,100,77,Indian Restaurant,Restaurant,Ice Cream Shop,Sandwich Place,Chinese Restaurant,Gym,Theater,Café,Fast Food Restaurant,Clothing Store
16,Bandra West,19.0583358,72.8302669,44500.0,44,50,12,50,100,67,Café,Indian Restaurant,Bakery,Bar,Dessert Shop,Seafood Restaurant,Chinese Restaurant,Pizza Place,Asian Restaurant,Snack Place
17,Dahisar,19.2494501,72.8596206,21502.46,62,64,12,21,100,100,Diner,Bar,Juice Bar,Chinese Restaurant,Indian Restaurant,Café,Ice Cream Shop,Dessert Shop,Department Store,Restaurant
18,Bhandup West,19.1462636,72.9339461,31000.0,56,89,7,15,100,81,Indian Restaurant,Train Station,Arcade,Sports Bar,Fried Chicken Joint,Big Box Store,Falafel Restaurant,Pizza Place,Vegetarian / Vegan Restaurant,Café
19,Kamothe,19.0164338,73.0806552,15722.09,10,10,0,0,19,2,Asian Restaurant,Multiplex,Train Station,Cupcake Shop,Factory,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space,Falafel Restaurant
20,Borivali East,19.2267228,72.8619328,33815.34,29,44,10,26,100,81,Clothing Store,Ice Cream Shop,Department Store,Café,Indian Restaurant,Chinese Restaurant,Shopping Mall,Snack Place,Boat or Ferry,Pizza Place
21,Kandivali West,19.2083801,72.842227,55000.0,23,74,7,29,100,69,Fast Food Restaurant,Pizza Place,Indian Restaurant,Coffee Shop,Food,Bike Rental / Bike Share,Restaurant,Food Truck,Dessert Shop,Men's Store
22,Malad East,19.1860219,72.8563181,46523.89,33,74,5,16,100,94,Department Store,Snack Place,Dessert Shop,Metro Station,Gym / Fitness Center,Pizza Place,Ice Cream Shop,Indian Restaurant,Factory,Dumpling Restaurant
23,Airoli,19.151749,72.9744769,28269.23,0,0,0,0,4,0,Punjabi Restaurant,Zoo,Dhaba,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Factory
24,Goregaon West,19.1633281,72.8411995,43000.0,30,41,4,30,100,84,Indian Restaurant,Fast Food Restaurant,Multiplex,Gym / Fitness Center,Ice Cream Shop,Mobile Phone Shop,Soccer Field,Sandwich Place,Restaurant,Café
25,Naigaon East,19.0095393,72.8478709,8527.78,43,58,18,21,100,100,Indian Restaurant,Coffee Shop,Bus Station,Vegetarian / Vegan Restaurant,Movie Theater,Flower Shop,Café,Juice Bar,Lounge,Restaurant
26,Santacruz East,19.092336600000003,72.85319921397249,50000.0,7,22,6,8,85,33,Café,Indian Restaurant,Coffee Shop,Hotel,Sandwich Place,Bar,Restaurant,Donut Shop,Bakery,Fast Food Restaurant
27,Lower Parel,18.9963318,72.8308603,81000.0,11,31,11,37,100,87,Indian Restaurant,Café,Restaurant,Coffee Shop,Pub,Italian Restaurant,Lounge,Asian Restaurant,Mediterranean Restaurant,Clothing Store
28,Taloja,19.0614859,73.1161392,11606.06,2,0,3,0,4,1,Business Service,Comedy Club,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Factory
29,Kanjurmarg,19.1296868,72.9283701,43620.57,6,37,14,11,100,47,Train Station,Fish Market,Platform,Café,Asian Restaurant,Cupcake Shop,Indian Restaurant,Food Court,Multiplex,Coffee Shop
30,Wadala,19.0269192,72.8759337,58982.25,0,18,4,15,82,36,Snack Place,Gym Pool,Bookstore,Baseball Field,Coffee Shop,Pizza Place,Thai Restaurant,Asian Restaurant,Multiplex,Electronics Store
31,Ghansoli,19.1193307,72.9995096,5500.0,11,31,1,5,100,24,Flea Market,Fast Food Restaurant,Department Store,Vegetarian / Vegan Restaurant,Train Station,Juice Bar,Zoo,Electronics Store,Diner,Donut Shop
32,Neral,19.0266373,73.3181185,26250.0,4,27,2,1,100,35,ATM,Train Station,City,Mountain,Fast Food Restaurant,Farmers Market,Farm,Field,Dim Sum Restaurant,Fish & Chips Shop
33,Worli,19.0116962,72.8180702,57000.0,6,41,12,19,100,54,Scenic Lookout,Café,Bakery,Smoke Shop,Sports Club,Electronics Store,Thai Restaurant,French Restaurant,Chinese Restaurant,Art Gallery
34,Jogeshwari West,19.136394,72.8373817,35666.67,30,30,4,26,100,65,Indian Restaurant,Pub,Bar,Asian Restaurant,Coffee Shop,Chinese Restaurant,Multiplex,Brewery,Pizza Place,Electronics Store
35,Parel,19.0094817,72.8376614,65000.0,81,81,16,26,100,100,Indian Restaurant,Coffee Shop,Restaurant,Movie Theater,Bakery,Theater,Burger Joint,Juice Bar,Café,Department Store
36,mumbai,18.9387711,72.8353355,35428.08,30,43,30,27,100,76,Indian Restaurant,Café,Coffee Shop,Hotel,Seafood Restaurant,Fast Food Restaurant,Train Station,Bar,Bakery,Clothing Store
37,Virar West,19.4676823,72.8879975,20000.0,0,2,1,0,2,6,Resort,Restaurant,Bus Station,Indian Restaurant,Electronics Store,Diner,Donut Shop,Dumpling Restaurant,Zoo,Dim Sum Restaurant
38,Prabhadevi,19.0148811,72.8279556,93145.52,17,58,9,29,100,100,Indian Restaurant,Café,Coffee Shop,Chinese Restaurant,Electronics Store,Lounge,Snack Place,Restaurant,Bakery,Dessert Shop
39,Seawoods,19.0221923,73.01873756602905,28000.0,19,15,3,23,100,16,Dessert Shop,Fast Food Restaurant,Indian Restaurant,Garden,Chinese Restaurant,Café,Shopping Mall,Department Store,Music Store,Clothing Store
40,Bandra East,19.0616565,72.8498111,75000.0,9,26,13,12,100,76,Indian Restaurant,Restaurant,Café,Gym,Pizza Place,Pub,Seafood Restaurant,Brazilian Restaurant,South American Restaurant,Food Court
41,Khar West,19.0696584,72.8398944,86500.0,20,16,13,25,100,81,Bar,Seafood Restaurant,Ice Cream Shop,Café,Sushi Restaurant,Dessert Shop,Asian Restaurant,Chinese Restaurant,Spa,Hookah Bar
42,Santacruz West,19.084877,72.8349727,75500.0,20,70,6,25,100,60,Clothing Store,Men's Store,Indian Restaurant,Fast Food Restaurant,Steakhouse,Chinese Restaurant,Coffee Shop,Food Truck,Gym,Sandwich Place
43,Mulund East,19.1704719,72.9610447,22000.0,24,71,16,30,100,81,Indian Restaurant,Café,Ice Cream Shop,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Smoke Shop,Playground,Diner,Bus Station
44,Vikhroli,19.1114795,72.928021,63708.0,13,34,9,22,100,49,Vegetarian / Vegan Restaurant,Café,Chinese Restaurant,Dessert Shop,Indian Restaurant,Coworking Space,Restaurant,Seafood Restaurant,Farm,Falafel Restaurant
45,Juhu,19.1070215,72.8275275,69000.0,11,45,5,36,100,20,Indian Restaurant,Café,Hotel,Bar,Coffee Shop,Chinese Restaurant,Cocktail Bar,Spa,Lounge,Restaurant
46,Sion,19.0465213,72.8632834,44000.0,21,49,7,26,100,100,Indian Restaurant,Vegetarian / Vegan Restaurant,Snack Place,Seafood Restaurant,Boutique,Train Station,Bus Station,Bookstore,Sandwich Place,Breakfast Spot
47,Nerul,19.033611800000003,73.01813957492513,25000.0,40,71,3,52,100,72,Indian Restaurant,Chinese Restaurant,Café,Gym,Snack Place,Coffee Shop,Bakery,Diner,Food Court,Garden
48,Sanpada,19.06597735,73.00953290144423,30000.0,23,32,3,12,100,29,Indian Restaurant,Department Store,Bookstore,Hotel,Restaurant,Coffee Shop,Chinese Restaurant,Clothing Store,Multiplex,Brewery
49,Ghatkopar West,19.0897194,72.9045972,30750.0,91,99,7,18,100,100,Indian Restaurant,Pizza Place,Café,Men's Store,Smoke Shop,Restaurant,Light Rail Station,Donut Shop,Bakery,Dessert Shop
50,Kurla,19.0652797,72.8793805,30000.0,10,64,9,15,100,73,Bus Station,Yoga Studio,Shoe Store,Vegetarian / Vegan Restaurant,Train Station,Bar,Event Space,Diner,Donut Shop,Dumpling Restaurant
51,Thane,19.1693436,72.9667636,33200.0,9,36,5,22,100,45,Indian Restaurant,Chinese Restaurant,Pizza Place,Fried Chicken Joint,Diner,Bus Station,Asian Restaurant,Playground,Café,Furniture / Home Store
52,Karjat,18.9127655,73.3228202,8000.0,3,43,4,6,98,59,Other Great Outdoors,Diner,Fast Food Restaurant,Train Station,Indian Restaurant,Factory,Donut Shop,Dumpling Restaurant,Electronics Store,Event Space
53,Boisar,19.2091438,72.8591832,12000.0,31,35,10,10,100,40,Fast Food Restaurant,Restaurant,Shopping Mall,Pizza Place,Indian Restaurant,Sandwich Place,Bus Line,Multiplex,Food Court,Sports Bar
54,Vashi,19.075713,73.0003541,30187.5,58,30,7,35,100,52,Indian Restaurant,Fast Food Restaurant,Gym / Fitness Center,Hotel,Chaat Place,Beer Garden,Social Club,Snack Place,Shopping Mall,Seafood Restaurant
55,Dahisar East,19.2486925,72.8640593,23611.11,54,61,11,20,100,90,Diner,Seafood Restaurant,Café,Bar,Food Court,Pizza Place,Train Station,Hotel Bar,Bakery,Indian Restaurant
56,Kalamboli,19.0235062,73.11060918969079,1647.17,9,7,7,2,34,13,Bus Station,Hotel,Fast Food Restaurant,Department Store,Toll Plaza,Event Space,Diner,Donut Shop,Dumpling Restaurant,Electronics Store
57,Jogeshwari East,19.1369889,72.8649418,58714.38,23,56,8,22,100,69,College Gym,Restaurant,Gym / Fitness Center,Gym,Asian Restaurant,Indian Restaurant,Chinese Restaurant,Electronics Store,Diner,Donut Shop
58,Chembur East,19.0460658,72.8954733,45676.06,17,53,10,15,100,85,Indian Restaurant,Fast Food Restaurant,Pizza Place,Café,Ice Cream Shop,Garden,Pool,Food Truck,Movie Theater,Juice Bar
59,Kalyan East,19.1378919,72.81066778229749,10000.0,2,7,2,20,53,38,Café,Beach,Restaurant,Coffee Shop,Diner,Chinese Restaurant,Sandwich Place,Middle Eastern Restaurant,Miscellaneous Shop,Boat or Ferry
60,Dadar West,19.0238887,72.8382236,75000.0,55,75,14,51,100,100,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Bar,Coffee Shop,Ice Cream Shop,Café,Movie Theater,Fish Market,Food Truck
61,Andheri,19.1196976,72.8464205,49708.0,32,84,11,22,100,73,Indian Restaurant,Fast Food Restaurant,Sandwich Place,Coffee Shop,Restaurant,Food Court,Smoke Shop,Shoe Store,Falafel Restaurant,Bakery
62,Virar East,19.4676823,72.8879975,8000.0,0,2,1,0,2,6,Resort,Restaurant,Bus Station,Indian Restaurant,Electronics Store,Diner,Donut Shop,Dumpling Restaurant,Zoo,Dim Sum Restaurant
63,Mira Road,19.1878962,72.8365955,19966.67,30,45,4,23,100,63,Coffee Shop,Indian Restaurant,Fast Food Restaurant,Café,Pub,Chinese Restaurant,Clothing Store,Pizza Place,Italian Restaurant,Gym
64,Bhayandar East,19.1971521,72.8113662,15000.0,1,11,2,6,11,26,Resort,Hot Dog Joint,Diner,Dance Studio,Event Space,Dim Sum Restaurant,Donut Shop,Dumpling Restaurant,Electronics Store,Zoo
65,Ghatkopar East,19.0834898,72.9120255,43388.81,98,100,9,43,100,100,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Gym / Fitness Center,Vegetarian / Vegan Restaurant,Coffee Shop,Pizza Place,Dessert Shop,Snack Place,Electronics Store
66,Dahisar West,19.2483914,72.8525146,26522.64,32,48,8,21,100,64,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Café,Bar,Coffee Shop,Soccer Field,Lounge,Liquor Store,Juice Bar
67,Khar,19.0696584,72.8398944,65000.0,20,16,13,25,100,81,Bar,Seafood Restaurant,Ice Cream Shop,Café,Sushi Restaurant,Dessert Shop,Asian Restaurant,Chinese Restaurant,Spa,Hookah Bar
68,Belapur,19.01898695,73.03909472408442,27500.0,9,2,9,26,75,18,Indian Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Train Station,Plaza,Asian Restaurant,Convenience Store,Liquor Store,Bus Station,Café
69,Colaba,18.915091,72.8259691,128218.18,2,23,8,28,100,40,Indian Restaurant,Coffee Shop,Hotel,Café,Diner,Bar,Restaurant,Italian Restaurant,Chinese Restaurant,Tennis Court
70,Deonar,19.0475502,72.9051895,58516.67,15,38,5,22,100,68,Indian Restaurant,Pizza Place,Café,Fast Food Restaurant,Chinese Restaurant,Movie Theater,Punjabi Restaurant,Pub,Plaza,Supermarket
71,Bandra Kurla Complex,19.067115,72.8657245,10253.35,6,8,5,6,24,13,Indian Restaurant,Bar,Coffee Shop,Pizza Place,Sandwich Place,Fast Food Restaurant,Chinese Restaurant,Dessert Shop,Diner,Café
72,Kalyan,19.1378919,72.81066778229749,12250.0,2,7,2,20,53,38,Café,Beach,Restaurant,Coffee Shop,Diner,Chinese Restaurant,Sandwich Place,Middle Eastern Restaurant,Miscellaneous Shop,Boat or Ferry
73,Wadala East,19.0269192,72.8759337,70000.0,0,18,4,15,82,36,Snack Place,Gym Pool,Bookstore,Baseball Field,Coffee Shop,Pizza Place,Thai Restaurant,Asian Restaurant,Multiplex,Electronics Store
74,vile parle west,19.1038725,72.8402903,33000.0,23,66,7,33,100,56,Indian Restaurant,Café,Snack Place,Sandwich Place,Seafood Restaurant,Ice Cream Shop,Gym,Coffee Shop,Food Truck,Juice Bar
75,Mahalaxmi,18.9825679,72.82416,55000.0,7,33,12,10,100,100,Coffee Shop,Indian Restaurant,Bakery,Gym,Restaurant,Asian Restaurant,Modern European Restaurant,Café,Spa,Racetrack
76,Dadar East,19.0162531,72.8522274,81333.38,11,62,9,25,100,85,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Café,Movie Theater,Gym,Shoe Store,Soccer Field,Flower Shop,Restaurant
77,Shil Phata,19.1127791,73.0094724,12428.57,8,17,2,4,100,28,Indian Restaurant,Fast Food Restaurant,Hotel,Ice Cream Shop,Mexican Restaurant,Food Court,Food Truck,Restaurant,Café,Seafood Restaurant
